ed,ct_adams,ct_cuomo,ct_lander,ct_ramos,ct_blake,ct_prince,ct_stringer,ct_bartholomew,ct_writein,ct_tilson,ct_myrie,ct_mamdani,ct_total_votes,pct_mamdani,pct_cuomo,pct_lander,pct_adams,pct_stringer,pct_myrie,pct_ramos,pct_blake,pct_prince,pct_tilson,pct_bartholomew,pct_writein,tied,num_top_candidates,winner,winner_name_full,NTAName
23001,0,121,23,0,3,7,7,0,1,4,1,31,198,0.15656565656565657,0.6111111111111112,0.11616161616161616,0,0.035353535,0.005050505,0,0.015151515151515152,0.035353535,0.020202020202020204,0,0.005050505,no,1,cuomo,Andrew Cuomo,Jacob Riis Park-Fort Tilden-Breezy Point Tip
23002,6,108,14,0,1,1,6,1,1,5,0,25,168,0.1488095238095238,0.6428571428571429,0.083333333,0.035714286,0.035714286,0,0,0.005952381,0.005952381,0.029761905,0.005952381,0.005952381,no,1,cuomo,Andrew Cuomo,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
23003,2,25,5,1,0,0,3,0,1,2,0,10,49,0.20408163265306123,0.5102040816326531,0.10204081632653061,0.040816327,0.061224489795918366,0,0.020408163,0,0,0.040816327,0,0.020408163,no,1,cuomo,Andrew Cuomo,Jacob Riis Park-Fort Tilden-Breezy Point Tip
23004,3,158,25,0,1,3,8,0,0,3,1,42,244,0.1721311475409836,0.6475409836065574,0.10245901639344263,0.012295081967213115,0.032786885,0.004098361,0,0.004098361,0.012295081967213115,0.012295081967213115,0,0,no,1,cuomo,Andrew Cuomo,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
23005,0,170,32,1,1,3,7,0,1,6,0,37,258,0.1434108527131783,0.6589147286821705,0.12403100775193798,0,0.027131782945736434,0,0.003875969,0.003875969,0.011627906976744186,0.023255813953488372,0,0.003875969,no,1,cuomo,Andrew Cuomo,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
23006,5,158,15,0,0,3,11,1,0,2,0,43,238,0.18067226890756302,0.6638655462184874,0.06302521,0.021008403,0.046218487394957986,0,0,0,0.012605042016806723,0.008403361,0.004201681,0,no,1,cuomo,Andrew Cuomo,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
23007,3,129,27,0,2,3,16,0,2,6,1,50,239,0.20920502092050208,0.5397489539748954,0.11297071129707113,0.012552301255230125,0.066945607,0.0041841,0,0.008368201,0.012552301255230125,0.025104603,0,0.008368201,no,1,cuomo,Andrew Cuomo,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
23008,12,94,32,0,0,1,6,1,0,3,0,67,216,0.3101851851851852,0.4351851851851852,0.14814814814814814,0.055555556,0.027777777777777776,0,0,0,0.00462963,0.013888888888888888,0.00462963,0,no,1,cuomo,Andrew Cuomo,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
23009,9,70,12,2,1,1,3,0,0,1,1,83,183,0.453551913,0.3825136612021858,0.06557377,0.049180328,0.016393443,0.005464481,0.010928962,0.005464481,0.005464481,0.005464481,0,0,no,1,mamdani,Zohran Mamdani,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
23010,19,106,14,1,2,3,12,0,0,2,1,59,219,0.2694063926940639,0.4840182648401826,0.063926941,0.086757991,0.054794521,0.00456621,0.00456621,0.00913242,0.01369863,0.00913242,0,0,no,1,cuomo,Andrew Cuomo,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
